Songs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
3 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029069767441860465,0.0,0.0,0.022222222222222223,0.020460358056265986,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.031578947368421054,0.0,0.013422818791946308,0.0,0.0,0.0,0.0,0.065,0.0078125,0.0,0.0,0.0,0.0,0.0,0.022857142857142857,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.03125,0.015625,0.0,0.036585365853658534,0.0,0.0,0.00980392156862745,0.0,0.027777777777777776,0.0,0.025,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.008849557522123894,0.052083333333333336,0.0,0.005988023952095809,0.0,0.004405286343612335,0.0,0.0,0.0,0.0031545741324921135,0.0,0.0,0.03125,0.0,0.04741379310344827,0.004291845493562232,0.0,0.0,0.0,0.06147540983606557,0.005494505494505495,0.021505376344086023,0.03205128205128205,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029069767441860465,0.0,0.0,0.022222222222222223,0.023017902813299233,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.028070175438596492,0.0,0.02237136465324385,0.0,0.0,0.0,0.0,0.035,0.015625,0.0,0.0,0.0,0.0,0.0,0.045714285714285714,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0625,0.0078125,0.0,0.036585365853658534,0.0,0.0,0.0196078431372549,0.0,0.027777777777777776,0.0,0.025,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.017699115044247787,0.03125,0.0,0.005988023952095809,0.0,0.00881057268722467,0.0,0.0,0.0,0.006309148264984227,0.0,0.0,0.027777777777777776,0.0,0.05172413793103448,0.008583690987124463,0.0,0.0,0.0,0.03278688524590164,0.01098901098901099,0.010752688172043012,0.03205128205128205,0.0,0.017241379310344827,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 11,0.0,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01278772378516624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008948545861297539,0.0,0.0,0.0,0.023035230352303523,0.0325,0.0,0.0,0.0,0.0,0.006349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00881057268722467,0.0,0.0,0.034482758620689655,0.003943217665615142,0.0,0.0,0.003472222222222222,0.0,0.017241379310344827,0.0,0.0,0.0,0.058823529411764705,0.004098360655737705,0.0,0.010752688172043012,0.04487179487179487,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.02158273381294964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 0,0.16911764705882354,0.10074074074074074,0.0636042402826855,0.1206896551724138,0.027868852459016394,0.09322033898305085,0.024752475247524754,0.07425742574257425,0.07272727272727272,0.15053763440860216,0.14473684210526316,0.2214765100671141,0.05747126436781609,0.10047846889952153,0.08620689655172414,0.07916666666666666,0.04926108374384237,0.055232558139534885,0.06465517241379311,0.08156028368794327,0.10740740740740741,0.2813299232736573,0.04878048780487805,0.11231884057971014,0.175,0.0625,0.2916666666666667,0.13414634146341464,0.09473684210526316,0.08181818181818182,0.087248322147651,0.06896551724137931,0.1736111111111111,0.12780269058295965,0.04539295392953929,0.10375,0.1015625,0.10833333333333334,0.10106382978723404,0.087248322147651,0.0380952380952381,0.06961178045515395,0.16,0.06349206349206349,0.25,0.24305555555555555,0.18263473053892215,0.15178571428571427,0.10416666666666667,0.21875,0.1015625,0.05921052631578947,0.0975609756097561,0.08780487804878048,0.26881720430107525,0.13725490196078433,0.18309859154929578,0.2777777777777778,0.1111111111111111,0.1125,0.23893805309734514,0.18229166666666666,0.15625,0.13114754098360656,0.08974358974358974,0.125,0.21428571428571427,0.14583333333333334,0.14583333333333334,0.15625,0.06944444444444445,0.23893805309734514,0.16666666666666666,0.10101010101010101,0.0658682634730539,0.15,0.14096916299559473,0.05714285714285714,0.18584070796460178,0.13793103448275862,0.13958990536277602,0.16363636363636364,0.17708333333333334,0.0763888888888889,0.12244897959183673,0.2650862068965517,0.1630901287553648,0.1323529411764706,0.14285714285714285,0.09558823529411764,0.1721311475409836,0.10989010989010989,0.03225806451612903,0.19230769230769232,0.14705882352941177,0.08620689655172414,0.06349206349206349,0.03409090909090909,0.0,0.1111111111111111,0.04316546762589928,0.046875,0.0,0.0,0.0,0.0,0.0,0.0
4 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 2,0.15441176470588236,0.21481481481481482,0.21554770318021202,0.2229064039408867,0.10983606557377049,0.1483050847457627,0.07425742574257425,0.1608910891089109,0.18181818181818182,0.3387096774193548,0.3092105263157895,0.18120805369127516,0.19540229885057472,0.2822966507177033,0.3103448275862069,0.22916666666666666,0.1477832512315271,0.17877906976744187,0.21767241379310345,0.225177304964539,0.3314814814814815,0.31202046035805625,0.15121951219512195,0.23550724637681159,0.36875,0.25,0.3854166666666667,0.3048780487804878,0.41403508771929826,0.1409090909090909,0.19798657718120805,0.08045977011494253,0.2777777777777778,0.21375186846038863,0.0948509485094851,0.185,0.26171875,0.22291666666666668,0.19414893617021275,0.14261744966442952,0.09523809523809523,0.07362784471218206,0.22857142857142856,0.1984126984126984,0.36875,0.2708333333333333,0.18862275449101795,0.3080357142857143,0.2569444444444444,0.375,0.2578125,0.06907894736842106,0.18902439024390244,0.3463414634146341,0.3010752688172043,0.3627450980392157,0.20422535211267606,0.3680555555555556,0.4351851851851852,0.2375,0.30973451327433627,0.3177083333333333,0.3854166666666667,0.3360655737704918,0.1987179487179487,0.3576388888888889,0.18452380952380953,0.3958333333333333,0.359375,0.28125,0.22916666666666666,0.34513274336283184,0.3854166666666667,0.41414141414141414,0.19461077844311378,0.305,0.32158590308370044,0.12857142857142856,0.19469026548672566,0.27586206896551724,0.26025236593059936,0.19090909090909092,0.234375,0.2013888888888889,0.30612244897959184,0.3232758620689655,0.23390557939914164,0.2647058823529412,0.34285714285714286,0.22303921568627452,0.24180327868852458,0.19505494505494506,0.053763440860215055,0.16666666666666666,0.2426470588235294,0.2672413793103448,0.15476190476190477,0.0625,0.13541666666666666,0.18888888888888888,0.07913669064748201,0.06770833333333333,0.04736842105263158,0.042105263157894736,0.0,0.0106951871657754,0.0,0.027586206896551724
4 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.0,0.0,0.09090909090909091,0.057291666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.051470588235294115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 4,0.11029411764705882,0.2607407407407407,0.10777385159010601,0.1921182266009852,0.10655737704918032,0.25,0.054455445544554455,0.10891089108910891,0.18181818181818182,0.25806451612903225,0.17763157894736842,0.2483221476510067,0.1752873563218391,0.22009569377990432,0.3045977011494253,0.24583333333333332,0.16748768472906403,0.15406976744186046,0.1788793103448276,0.2393617021276596,0.21296296296296297,0.1969309462915601,0.07317073170731707,0.15217391304347827,0.20625,0.40625,0.3125,0.13414634146341464,0.0912280701754386,0.19545454545454546,0.174496644295302,0.15517241379310345,0.1909722222222222,0.21300448430493274,0.0975609756097561,0.12125,0.13671875,0.2875,0.27925531914893614,0.17114093959731544,0.10952380952380952,0.11378848728246319,0.08571428571428572,0.25396825396825395,0.2125,0.2986111111111111,0.2245508982035928,0.3392857142857143,0.1736111111111111,0.171875,0.296875,0.08223684210526316,0.25,0.25609756097560976,0.22580645161290322,0.28431372549019607,0.28169014084507044,0.24305555555555555,0.23148148148148148,0.125,0.19469026548672566,0.15625,0.375,0.22950819672131148,0.28205128205128205,0.34375,0.23214285714285715,0.22916666666666666,0.328125,0.328125,0.3055555555555556,0.20353982300884957,0.19791666666666666,0.24242424242424243,0.1407185628742515,0.26,0.2290748898678414,0.18571428571428572,0.26991150442477874,0.1896551724137931,0.19479495268138802,0.14545454545454545,0.19791666666666666,0.1736111111111111,0.1326530612244898,0.18318965517241378,0.19098712446351931,0.22549019607843138,0.29285714285714287,0.11029411764705882,0.20491803278688525,0.1401098901098901,0.10215053763440861,0.09134615384615384,0.22058823529411764,0.14655172413793102,0.0873015873015873,0.10227272727272728,0.036458333333333336,0.044444444444444446,0.03597122302158273,0.015625,0.031578947368421054,0.042105263157894736,0.0,0.0106951871657754,0.0,0.0
